Datum|1 AUD|1 BGN|1 BRL|1 CAD|1 CHF|1 CNY|1 DKK|1 EUR|1 GBP|1 HKD|1 HRK|100 HUF|1000 IDR|1 ILS|100 INR|100 ISK|100 JPY|100 KRW|1 MXN|1 MYR|1 NOK|1 NZD|100 PHP|1 PLN|1 RON|100 RUB|1 SEK|1 SGD|100 THB|1 TRY|1 USD|1 XDR|1 ZAR
03.01.2022|15,818|12,690|3,906|17,210|23,931|3,441|3,337|24,820|29,502|2,803|3,301|6,751|1,532|7,068|29,412|16,816|19,016|1,833|1,068|5,239|2,481|14,902|42,757|5,408|5,016|29,362|2,410|16,189|65,897|1,646|21,860|30,595|1,382
04.01.2022|15,784|12,655|3,857|17,211|23,903|3,441|3,328|24,750|29,599|2,815|3,292|6,779|1,534|7,090|29,394|16,746|18,870|1,829|1,067|5,242|2,472|14,849|42,683|5,419|5,002|29,146|2,407|16,166|65,862|1,635|21,944|30,744|1,367
05.01.2022|15,764|12,567|3,831|17,076|23,722|3,414|3,305|24,580|29,426|2,789|3,268|6,788|1,514|7,030|29,234|16,744|18,759|1,816|1,063|5,184|2,465|14,814|42,637|5,382|4,970|28,697|2,397|16,040|65,439|1,613|21,739|30,359|1,372
06.01.2022|15,547|12,542|3,810|16,977|23,600|3,398|3,297|24,530|29,345|2,779|3,261|6,817|1,506|6,960|29,118|16,710|18,719|1,801|1,055|5,146|2,444|14,645|42,335|5,378|4,962|28,356|2,375|15,944|64,656|1,578|21,679|30,332|1,379
07.01.2022|15,462|12,495|3,798|17,000|23,450|3,391|3,286|24,440|29,291|2,772|3,250|6,813|1,506|6,955|29,098|16,740|18,668|1,796|1,057|5,138|2,437|14,595|42,094|5,372|4,942|28,659|2,376|15,912|64,204|1,554|21,626|30,243|1,384
10.01.2022|15,444|12,456|3,809|17,004|23,317|3,378|3,275|24,360|29,212|2,761|3,237|6,796|1,504|6,901|29,073|16,662|18,674|1,797|1,056|5,125|2,430|14,542|41,902|5,373|4,926|28,664|2,364|15,877|64,023|1,547|21,525|30,096|1,376
11.01.2022|15,449|12,483|3,821|17,035|23,250|3,379|3,281|24,415|29,252|2,762|3,245|6,830|1,506|6,878|29,153|16,609|18,645|1,805|1,057|5,138|2,438|14,557|42,110|5,372|4,937|28,769|2,369|15,915|64,515|1,566|21,538|30,151|1,379
12.01.2022|15,495|12,486|3,847|17,127|23,285|3,375|3,282|24,420|29,302|2,754|3,246|6,858|1,500|6,895|29,055|16,612|18,606|1,804|1,053|5,129|2,461|14,561|42,060|5,385|4,938|28,800|2,381|15,898|64,390|1,556|21,470|30,066|1,391
13.01.2022|15,571|12,505|3,851|17,106|23,399|3,355|3,287|24,460|29,273|2,740|3,252|6,885|1,493|6,864|28,874|16,639|18,678|1,800|1,045|5,110|2,462|14,667|41,764|5,392|4,947|28,242|2,389|15,857|64,297|1,571|21,340|29,916|1,386
14.01.2022|15,500|12,523|3,867|17,094|23,481|3,368|3,292|24,495|29,332|2,749|3,258|6,878|1,497|6,888|28,836|16,663|18,816|1,799|1,053|5,122|2,452|14,627|41,717|5,392|4,956|27,824|2,385|15,889|64,411|1,576|21,400|30,119|1,391
